Date,Open,High,Low,Close,Volume,OpenInt
9/20/2013,75.856,75.923,75.359,75.398,27433893,0
9/23/2013,75.734,75.8,74.894,75.247,31754246,0
9/24/2013,75.407,75.647,74.998,75.247,22914559,0
9/25/2013,75.296,75.407,74.835,74.988,23807070,0
9/26/2013,75.286,75.752,75.266,75.572,23480258,0
9/27/2013,75.162,75.609,75.017,75.475,26081884,0
9/30/2013,74.713,75.495,74.453,75.296,29359494,0
10/1/2013,75.286,76.096,75.266,76.057,34602952,0
10/2/2013,75.515,76.134,75.465,76.029,26699856,0
10/3/2013,75.933,76.096,74.742,75.143,45039813,0
10/4/2013,75.143,75.896,75.073,75.79,23941481,0
10/7/2013,75.143,75.742,75.093,75.162,21196284,0
10/8/2013,75.181,75.228,73.682,73.711,45683019,0
10/9/2013,73.881,73.92,72.88,73.481,67586383,0
10/10/2013,74.263,75.208,74.254,75.037,50177723,0
10/11/2013,74.844,75.685,74.835,75.628,26401727,0
10/14/2013,75.162,76.163,75.103,76.163,32943139,0
10/15/2013,76.086,76.467,75.771,75.866,40328287,0
10/16/2013,76.202,76.762,76.163,76.727,48940392,0
10/17/2013,76.362,77.195,76.314,77.165,33606154,0
10/18/2013,77.852,78.446,77.652,78.418,41500726,0
10/21/2013,78.567,78.788,78.339,78.585,32647384,0
10/22/2013,78.865,79.133,78.204,78.702,46026852,0
10/23/2013,78.309,78.464,77.842,78.223,39822429,0
10/24/2013,78.261,78.73,78.157,78.567,24196334,0
10/25/2013,79.321,79.494,78.749,79.133,37536722,0
10/28/2013,79.133,79.272,78.798,79.151,29969177,0
10/29/2013,79.38,79.476,78.939,79.282,38634146,0
10/30/2013,79.572,79.693,78.828,79.208,35114664,0
10/31/2013,79.007,79.513,78.73,79.026,32801048,0
11/1/2013,79.263,79.39,78.654,79.045,32342690,0
11/4/2013,79.272,79.291,78.884,79.16,17642323,0
11/5/2013,78.838,79.438,78.625,79.246,29303015,0
11/6/2013,79.562,79.609,78.969,79.228,26754567,0
11/7/2013,79.218,79.35,77.671,77.738,54554891,0
11/8/2013,78.016,78.808,77.804,78.788,32976633,0
11/11/2013,78.644,78.884,78.408,78.663,25996659,0
11/12/2013,78.427,78.901,78.388,78.788,21061088,0
11/13/2013,78.28,79.752,78.27,79.742,32806057,0
11/14/2013,79.504,80.047,79.36,79.991,32580081,0
11/15/2013,80.018,80.142,79.81,80.142,21492550,0
11/18/2013,80.123,80.286,79.208,79.36,33172839,0
11/19/2013,79.311,79.693,78.998,79.133,26746656,0
11/20/2013,79.36,79.635,78.711,78.939,33707651,0
11/21/2013,79.255,79.81,79.208,79.742,29457408,0
11/22/2013,79.886,80.201,79.82,80.171,26560185,0
11/25/2013,80.458,80.543,80.161,80.363,22728593,0
11/26/2013,80.391,80.984,80.211,80.783,27894035,0
11/27/2013,80.934,81.365,80.877,81.345,22658664,0
11/29/2013,81.652,81.937,81.587,81.833,17504663,0
12/2/2013,81.928,82.054,81.47,81.593,27596019,0
12/3/2013,81.536,81.748,81.213,81.527,38918120,0
12/4/2013,81.193,81.87,80.925,81.603,38949235,0
12/5/2013,81.671,81.766,81.297,81.498,41614943,0
12/6/2013,82.195,82.261,81.7,82.092,38586461,0
12/9/2013,82.426,82.596,82.281,82.426,23668496,0
12/10/2013,82.281,82.52,82.205,82.368,27543449,0
12/11/2013,82.349,82.473,81.193,81.307,38409120,0
12/12/2013,81.365,81.536,81.042,81.098,35257205,0
12/13/2013,81.48,81.518,80.858,80.994,35696776,0
12/16/2013,81.404,81.908,81.335,81.441,26089028,0
12/17/2013,81.441,81.642,81.124,81.279,25583858,0
12/18/2013,81.345,82.3,80.231,82.224,71560775,0
12/19/2013,82.082,82.102,81.633,81.996,48696345,0
12/20/2013,82.113,83.002,82.095,82.832,42201815,0
12/23/2013,83.491,83.701,83.26,83.701,29422108,0
12/24/2013,83.72,83.797,83.569,83.74,14466179,0
12/26/2013,83.886,84.085,83.73,84.018,15909015,0
12/27/2013,84.103,84.171,83.701,83.807,16529653,0
12/30/2013,83.691,83.797,83.443,83.682,19824569,0
12/31/2013,83.826,84.229,83.807,84.229,25997283,0
1/2/2014,83.836,83.866,83.329,83.569,30481850,0
1/3/2014,83.569,83.644,82.945,82.964,37308923,0
1/6/2014,82.973,83.08,82.353,82.658,33499876,0
1/7/2014,83.021,83.55,82.887,83.424,27041952,0
